Lyricist,Individual's Song ID,Verse,Label
Abdul Latif,song2,হাত ধইরো না চুড়ি ভেংগে বিঁধলে আমার হাতে বলবে লোকে কলংকের দাগ কে দিল এ রাতে ।।,1
Abdul Latif,song2,দোহাই তোমার… দোহাই তোমার হাত ছেড়ে দাও লাগে বড় ডর সোনার অংগে দাগ পড়িলে কেমনে যাব ঘর হাত ধইরো না চুড়ি ভেংগে যাবে যে নাগর,1
Abdul Latif,song2,আঁচল ধরে টান দিও না শাড়ী ছিড়ে গেলে কেমন করে ঘোমটা দেবো তুমি কাছে এলে ।।,1
Abdul Latif,song2,দোহাই তোমার… দোহাই তোমার আঁচল ছাড়ো লাগে বড় ডর এত রাতে নিলাজ্ব হলে কেমনে যাব ঘর আচল ছাড়ো শাড়ী ছিড়ে যাবে যে নাগর,1
Abdul Latif,song3,আমি কোথায় বলো কোথায় থাকি রে বটগাছের পাতা নাইরে।। আমার ঘরও নাই বাড়িও নাই মনের মানুষ নাই রে কোথায় ? ও বলো কোথায় থাকি রে…,2
Abdul Latif,song3,আশা ছিল কালো কোকিল বাঁধবে ডালে ঘর আরে বাঁধবে ডালে ঘর সেই যে পাখি উইড়া গেল পাইলাম না খবর,2
Abdul Latif,song3,অনেক দুঃখে সেই না পাখি হইল দেশান্তর আরে হইল দেশান্তর মনের ভিটায় বাঁধলো সে যে পিড়িতেরই ঘর সেই পিড়ীত পিড়ীত কার বলে রে দিবা নিশি খুঁইজা মরি রে ! আমার পিড়ীতে মরণ হইলে দুঃখ কিছু নাই রে ও পিড়ীতি কার বলে রে দিবা নিশি খুঁইজা মরি রে !,2
Abdul Latif,song3,আবার যদি হারাই তোমায় এই না যৌইবন কালে আরে এই না যৌইবন কালে আঞ্চলেরই ফাঁস লাগাইয়া ঝুলবো সে কোন ডালে,2
Abdul Latif,song3,না পোড়াইও সোনার অংগ না ভাসাইও জলে আরে না ভাসাইও জলে বটবৃক্ষ হইমু আমি তোমার নিদান কালে তুমি যদি বটবৃক্ষ হও আমি হবো প্রেমলতা রে মোরা সুখে দুঃখে সারা জীবন কইমু মনের কথা রে ।। তুমি যদি বটবৃক্ষ হও আমি হবো প্রেমলতা রে আমি হবো প্রেমলতা রে,1
Abdul Latif,song4,"অনাথিনীর বুকের মানিক বল আমারে বল রে ছায়া নিলি কোন ভরসায় মরা গাছের তলে রে, নানা হে…।",2
Abdul Latif,song4,জীবনটা যার একতারাতে বাঁধা আছে দিনে রাতে।,3
Abdul Latif,song4,"বাঁধলি তারে মায়ার ডোরে কত যেনো ছলে রে, নানা হে….।।",2
Abdul Latif,song4,ওরে আমার অবুঝ পাখি বলনা তোরে কোথায় রাখি।,2
Abdul Latif,song4,"দ্বীন-ভিখারী কাঙ্গাল আমি নাই কোন সম্বলরে, নানা হে…।",2
Abdul Latif,song5,ওরা আমার মুখের ভাষা কাইরা নিতে চায় ।। ওরা কথায় কথায় শিকল পরায় আমার হাতে-পায়ে ওরা কথায় কথায় শিকল পরায় আমাদেরই হাতে-পায়ে ওরা আমার মুখের ভাষা কাইরা নিতে চায় ।।,2
Abdul Latif,song5,"কইতো যাহা আমার দাদায়, কইছে তাহা আমার বাবায় ।। এখন কও দেহি ভাই মোর মুখে কি অন্য কথা শোভা পায় কও দেহি ভাই এখন কও দেহি ভাই মোর মুখে কি অন্য কথা শোভা পায় ওরা আমার মুখের ভাষা কাইরা নিতে চায় ।।",2
Abdul Latif,song5,"যে শুইনাছে আমার দেশের গাঁওগেরামের গান নানান রঙয়ের নানান রসে, ভইরাছে তার প্রাণ ।। যপ-কীর্তন, ভাসান-জারি, গাজীর গীত আর কবি সারি ।। আমার এই বাংলাদেশের বয়াতিরা নাইচা নাইচা কেমন গায় বাংলাদেশের আমার এই বাংলাদেশের বয়াতিরা নাইচা নাইচা কেমন গায় ওরা কাদের মুখের কথা কাইরা নিতে চায় ।।",3
Abdul Latif,song5,"তারি তালে তালে হৈ ঢোল করতাল বাজে ঐ বাশি কাশি খঞ্জনি সানাই, (আহা) বাশি কাশি খঞ্জনি সানাই এখন কও দেখি ভাই এমন শোভা কোথায় গেলে দেখতে পাই ও হো..হো..হো….কোথায় গেলে দেখতে পাই",3
Abdul Latif,song5,"পূবাল বায়ে বাদাম দিয়া লাগলে ভাটির টান গায়রে আমার দেশের মাঝি ভাটিয়ালি গান, (ভাইরে) ভাটিয়ালি গান তার ভাটিয়াল গানের সুরে মনের দুসখু যায়রে দূরে বাজায় বাশি সেইনা সুরে রাখাল বনের ছায় রাখাল বনের ছায় ওরা যদি না দেয় মান আমার দেশের যতই যাক তার সাথে মোর নাড়ীর যোগাযোগ, আছে তার সাথে মোর নাড়ীর যোগাযোগ এই আপদ-বিপদ দুঃখে কষ্টে এ গান আমার ভোলায় শোক ও হো..হো..হো….এ গান আমার ভোলায় শোক",3
Abdul Latif,song5,এই ঠুং ঠুংয়া ঠুং দোতারা আর সারিন্দা বাজাইয়া গায়ের যোগী ভিক্ষা মাগে প্রেমের সারি গাইয়াগো প্রেমের সারি গাইয়া ।।,3
Abdul Latif,song5,একতারা বাজাইয়া বাউল ঘুচায় মনের সকল আউল ।। তারা মার্ফতি মুর্শিদি তত্ত্বে পথের দিশা দিয়া যায় মার্ফতি মুর্শিদি তত্ত্বে পথের দিশা দিয়া যায় ওরা তাদের মুখের কথা কাইরা নিতে চায় ।।,3
Abdul Latif,song7,"সর্বনাশা পদ্মা নদী তোর কাছে শুধাই বল আমারে তোর কি রে আর কুল কিনারা নাই, কুল কিনারা নাই ও নদীর কুল কিনারা নাই।।",2
Abdul Latif,song7,পাড়ির আশায় তাড়াতাড়ি সকাল বেলা ধরলাম পাড়ি আমার দিন যে গেল সন্ধ্যা হলো তবু না কুল পাই।।,3
Abdul Latif,song7,পদ্মারে তোর তুফান দেইখা পরান কাঁপে ডরে ফেইলা আমায় মারিসনা তোর সর্বনাশা ঝড়ে।,2
Abdul Latif,song7,একে আমার ভাঙ্গা তরী মাল্লা ছয়জন শল্লা করি আমার নায়ে দিল কুড়াল মারি কেমনে পাড়ে যাই।।,2
Abu Hena Mostafa Kamal,song10,"আমি নদীর মত কত পথ ঘুরে তোমার জীবনে এসেছি আমি সাগরের মত গভীর হয়ে তোমায় যে ভালবেসেছি, ভালবেসেছি।।",1
Abu Hena Mostafa Kamal,song10,তুমি তো জানো না আমি কতবার বেধেছি আমার মন *** শোনাতে তোমায় কন্ঠ আমার কত যে গোপনে সেধেছি।।,1
Abu Hena Mostafa Kamal,song10,আমি কুসুমের মত নিজেরে করেছি রচনা তোমারে নিয়ে যে কত স্বপ্ন কত যে স্বপ্ন জান না।।,1
Abu Hena Mostafa Kamal,song1,বনলতা দিয়ে দোলনা বেঁধেছি আর কণ্ঠে পরেছি গানের অলংকার অঙ্গ ভরেছি তোমার প্রেমের অপরূপ তন্দ্রাতে।।,1
Abu Hena Mostafa Kamal,song1,এ মধু প্রহরে আকাশ বাসরে দু’টি নীল তারা জ্বলছে হয়তবা তারা তোমার আমার স্বপনের কথা বলছে।।,1
Abu Hena Mostafa Kamal,song1,তাই ভেবে আমি প্রদীপ জ্বালিনি আর সরায়ে দিয়েছি মায়াবী অন্ধকার তোমার আমার এই সুরভিত বেদনার মোহনাতে।।,1
Abu Hena Mostafa Kamal,song2,তুমি যে আমার কবিতা আমার বাঁশীর রাগিনী আমার স্বপন আধ-জাগরণ চিরদিন তোমারে চিনি।।,1
Abu Hena Mostafa Kamal,song2,"আমি কে তোমার যদি জানতে তবে কি আমায় কাছে টানতে হয়ত সুদূরে যেতে গো সরে না, না নয়নের নীলে তুমি যে ছিলে।।",1
Abu Hena Mostafa Kamal,song2,তুমি এলে তাই স্বপ্ন এলো ইন্দ্রধনুর লগ্ন এলো। এ মধুর প্রহর হোক না অমর ওগো মোর পল্লবিনী।।,1
Abu Hena Mostafa Kamal,song2,যদি এ লগন আঁধারে ঢাকে যদি নেভে দ্বীপ পথের বাঁকে। তুমি যে আমার বলব আবার। চিরদিন তোমারে চিনি।।,1
Abu Hena Mostafa Kamal,song3,হাতের কাকন ফেলেছি খুলে কাজল নেই চোখে তবু তোমার কাছে যাব যা বলে বলুক লোকে।।,1
Abu Hena Mostafa Kamal,song3,যখন তুমি আসবে বলে ছিলেম দিশেহারা বাতাসে ছিল আমন্ত্রন আকাশে ছিল তাঁরা। জানি না হায় সেদিন আমার প্রদ্বীপ নেভালো কে।।,1
Abu Hena Mostafa Kamal,song3,কে জানে আজ এতদিনে পারবে কি না চিনতে এখনও প্রেম আগের মত আছে কি হৃদয় বৃন্তে,2
Abu Hena Mostafa Kamal,song3,তবুও আমি শুন্য হাতে এলেম পথে নেমে তোমাকে কাছে পাব বলে শুধুই তোমার প্রেমে দেখতো এবার চিনো না কি কে আমি বলতো কে।।,1
Abu Hena Mostafa Kamal,song4,সেই চম্পা নদীর তীরে দেখা হবে আবার যদি ফাগুন আসে গো ফিরে।।,1
Abu Hena Mostafa Kamal,song4,সেই ঝর্ণা ঝরা গায়ের পাশে চম্পা নদীর পাড়ে ভালবাসি যার দুটি চোখ হারিয়ে এলাম তারে।,1
Abu Hena Mostafa Kamal,song4,আবার যদি আসে ফাগুন শিমুল শাখায় লাগে আগুন। তখন আবার স্বরণ করো অচিন সাথীটিরে।।,1
Abu Hena Mostafa Kamal,song5,শুন্য হাতে আজ এসেছি নেই তো কিছুই আর। অশ্রু ভেজা এ গান আমার দিলাম উপহার।।,1
Abu Hena Mostafa Kamal,song5,একটি মানিক দীপ হয়ে আজ অন্য ঘরে জ্বলে। স্বপ্ন ভাঙ্গা মন কাঁদে যে ব্যর্থ আশার ছলে চোখের জলে কাছে ডাকার নেই যেন অধিকার।।,2
Abu Hena Mostafa Kamal,song5,অন্তবিহীন পথ পেড়িয়ে এসে দেখি কাছে। বন্ধু আমার সব সাধনা মিথ্যে হয়ে গেছে জীবন ভরে হেরেই গেলাম এ কেমন অবিচার।।,2
Abu Hena Mostafa Kamal,song6,নদীর মাঝি বলে এসো নবীন মাঠের কবি বলে এসো নবীন দেখেছি দূরে ঐ সোনালী দিন।,3
Abu Hena Mostafa Kamal,song7,অনেক বৃষ্টি ঝরে তুমি এলে যেন একমুঠো রোদ্দুর আমার দুচোখ ভরে তুমি এলে।।,1
Abu Hena Mostafa Kamal,song7,"কত বেদনার বিষন্ন মেঘে ভেসে ভেসে এলে তুমি অবশেষে তাই বাতায়নে ময়ুরেরও ঝিলিমিলি ঝিলিমিলি আজ সারাদিন ধরে,আমার দুচোখ ভরে তুমি এলে।।",1
Abu Hena Mostafa Kamal,song7,তুমি এলে যেন এক মুঠো চঞ্চল চঞ্চল খুশি এলো অন্তরে আমার দুচোখ ভরে তুমি এলে।।,1
Abu Hena Mostafa Kamal,song8,তোমার কাজল কেশ ছড়ালো বলে এই রাত এমন মধুর।,1
Abu Hena Mostafa Kamal,song8,তোমার হাসির রঙ লাগলো বলে। দোলে ঐ বনের মুকুল।।,1
Abu Hena Mostafa Kamal,song8,এই ঘন কুন্তল বন্যা কে দিল তোমায় বলো কন্যা।,1
Abu Hena Mostafa Kamal,song8,অধরে কে দিল বলো জড়ায়ে। ফাল্গুনী হাসির সুর।।,1
Abu Hena Mostafa Kamal,song8,আমার গানের কলি ভ্রমর হয়ে তোমারে শুধায় যদি তা,1
Abu Hena Mostafa Kamal,song8,তুমি বলবে কী তা।,1
Abu Hena Mostafa Kamal,song8,কে দিল তোমার নিশি ভরায়ে কে দিল আমার নিশি ভরায়ে। তোমার হাসি মধুর,1
Abu Hena Mostafa Kamal,song8,তোমার হাসির রঙ লাগলো বলে এই রাত এমন মধুর।।,1
Abu Hena Mostafa Kamal,song9,"এই পৃথিবীর পান্থশালায় গাইতে গেলে গান কান্না হয়ে বাজে, কেন বাজে আমার প্রান।।",2
Abu Hena Mostafa Kamal,song9,কিছুই দিতে পারবো না যে আমার সকল গানের মাঝে। অশ্রু বুঝি তাই ঝরে অফুরান।।,2
Abu Jafor,song2,নিন্দার কাঁটা যদি না বিঁধিল গাঁয়ে প্রেমের কি স্বাদ আছে বল।।,1
Abu Jafor,song2,আঁধার না থাকে যদি কি হবে আলোর প্রেমের কি স্বাদ আছে বল।।,1
Abu Jafor,song2,বাঁশি ডেকে বলে যমুনাকে অপবাদ যতই আসুক রায় কি কখনও ঘরে থাকে কলঙ্ক না লাগে যদি ভালবেসে লাগে কি ভাল।।,1
Abu Jafor,song2,হৃদয়ের যমুনাকে জানি লাজ-ভয় সুনীল জলে ধুয়ে যাবে যত কানাকানি।,1
Abu Jafor,song2,ফুলের মুখে কান দিয়ে বিনোদিনী কূল খুঁজে নিল প্রেমের কি স্বাদ আছে বল আঁধার না থাকে যদি কি হবে আলোর প্রেমের কি স্বাদ আছে বল।।,1
Abu Owahed,song1,তোমাকে দেখেছি আমি কমল-শোভায় শুভ্র কাদম্বিনী পাখির ডানায়ন ॥ নিশাপতি বিকিরণ মহিমা তোমার তব দয়া মাঝে মোরা সারা দিনমান ॥,3
Abu Owahed,song1,তোমাকে খুজেছি আমি পাহাড় চুড়ায় আমের মুকুল মাঝে ভ্রমর খেলায় ॥ পুুষ্প-কুঁড়ি জাগে আবেশে তোমার করুণার ডালি ভরে কর আহ্বান ॥,3
Abu Owahed,song2,রড ধরে শোনে তারা কারা-বার্তায়ন চিন্তিত মনে তার নিশি-জাগরণ আবেগের বশে ঝরে অশ্রু-পবন মুছে ফেলো তব মুছে ফেলো না আবার ॥,2
Ador,song1,আমার কল্পনা জুড়ে যে গল্পেরা ছিল আড়ালে সব লুকানো সেই গল্পেরা সব রঙীন হলো পলকে তোমাকে হঠাৎ পেয়ে যেন,1
Ador,song1,প্রেম তুমি আসবে এভাবে আবার হাড়িয়ে যাকে ভাবিনি আজও আছে সে পথ শুধু নেই তুমি বলবো কোথায় আছো অভিমানী,2
Ador,song1,সব থেকেও কি যেন নেই তোমাকে তাই খুঁজে যাই প্রতিক্ষনে আমার ভাললাগা গুলো সব তোমায় ভেবে সাজে রোজ রোজ এই মনে,1
Ador,song1,চেয়ে থাকা দূর বহুদূর যে পথে আজো রয়ে গেছ স্মুতির পাতায় এসো না একটি বার স্বপ্ন যত সাজাতে আবার শুনছো কি আমায়,1
Ador,song2,"হৃদয়ের শাদা রঙটুকু সব হয়েছে কেবলই নোনা৷ না-পাওয়ার চাপা আর্তনাদে, অবেলায় ঝড়া পাতা৷ আকাশ-পৃথিবী আর ঘড়ির কাঁটা, অসম এই বোঝাপড়া৷ ভালোলাগার নয়নতারাগুলো মাঝে, দিলোনা আমায় কোনো ভালোবাসা৷ সূর্যের স্পর্শে অভিমান জানি হবেনা কখনো ছোঁয়৷ অবুঝ-বোবা হয়ে ক্লান্তি ফিরে নি:শ্বাসে বাড়ায় নীরবতা৷",2
Agun,song1,ঝড়ো বেদনার মত আজো আছো ত্তুমি আমার আকাশ জুড়ে নিবিঢ় মেঘের ছায়া দেবে বলে ছিলে ঝড় হয়ে তবে কেন দুঃখ দিলে ঝড়ো বেদনার ……………আকাশ জুড়ে,2
Agun,song1,সবাই আমার থেকে নিয়েছে বিদায় তুমিও ভুলবে জানি খেয়ালই আশায় প্রেমের ফাসি ওগো পরিয়ে দিয়ে একা ফেলে চলে গিয়ে বলো কি পেলে নিবিঢ় মেঘের ছায়া দেবে বলে ছিলে ঝড় হয়ে তবে কেন দুঃখ দিলে ঝড়ো বেদনার ……………আকাশ জুড়ে,2
Agun,song1,হৃদয় সাগর তীরে আজ আমার কান্না কিভাবে বেঁচে থাকে তুমি জান না ।। ভাবলেও অবাক লাগে কিভাবে তুমি আমাকে এমন করে গেলে যে ভুলে নিবিঢ় মেঘের ছায়া দেবে বলে ছিলে ঝড় হয়ে তবে কেন দুঃখ দিলে ঝড়ো বেদনার ……………আকাশ জুড়ে,2
Agun,song2,ও আকাশ বলো আমায় প্রিয়ার চোখে এত নীল কোথা থেকে এলো,1
Agun,song2,ও বাতাস তুমি বলো তার মন এ ফাগুন কোথা থেকে পেলো,1
Agun,song2,সাগর বলো তো কিভাবে গভীর হলো দুটি চোখ তার,1
Agun,song2,পাহাড় বলো তো ঝর্না বলো সে কাঁদে সেই কান্না কোথা পায়,1
Agun,song2,ও আকাশ বলে দাও ও বাতাস বলে দাও,3
Agun,song2,ঢেউয়ের মত সে আছড়ে পরে মনে পাখী হয়ে গান গেয়ে বসন্ত ডেকে আনে শিশিরের মত সে জড়িয়ে থাকে পায়ে এমন নিবিঢ় প্রেম কোথা সে পেলো সাগর বলো তো ……………………বলে দাও,1
Agun,song2,আগুনের মত এত নির্ধিদায় জালায় আমায় বিধাতার মত সে ওম শান্তি দিয়ে পালায় উপমার মতো তুমি হারাও ক্ষনে ক্ষনে সব কবিতাই হেরেই যে গেল সাগর বলো তো ……………………বলে দাও,1
Agun,song3,ইদানিং আমার গুমরে কাঁদার অভ্যেস এক হয়েছে জীবন স্রোতস্বিনী্র মাঝে বিরাট চর পরেছে\জেগেছে ধু ধু বালু ঘেরা সেই চরে কোন প্রাণের চিহ্ন নেই হতাশা হতাশার নিঃশ্বাস ………,1
Agun,song3,সময়কে পিছু ফেলে আরো জোড়ে ছুটে চলে কষ্ট সেই কষ্টের মাঝে কোনমতে বেঁচে আমি ।। ভাংগাচোরা এই জীবন চালাতে এখন আমি হয়রান সত্যি ভীষণ কষ্ট,2
Agun,song3,ইদানিং আমার গুমরে কাঁদার অভ্যেস এক হয়েছে জীবন স্রোতস্বিনী্র মাঝে বিরাট চর জেগেছে ধু ধু বালু ঘেরা সেই চরে কোন প্রাণের চিহ্ন নেই হতাশা হতাশার নিঃশ্বাস ……..,2
Agun,song3,দরজায় রত প্রহরী গুলো আমাকে বের হতে দেয় না কতদিন আমি খোলা আকাশের সুর্যের আলো দেখিনি ।। তোমার কালো স্যাতস্যাতে ঘরে আর তো ভাল লাগেনা সারথি আমি অতীষ্ট,2
Agun,song4,আমার স্বপ্নগুলো কেন এমন স্বপ্ন হয় এ মনটা কেন বারে বারে ভেঙ্গে যায়।।,2
Agun,song4,আমার কবিতাগুলো প্রতিদিন ছন্দ হারায় তোমার স্মৃতিগুলো প্রতিরাতে আমাকে কাঁদায় আ হাহাহা হাহাহা লালা লালা……,2
Agun,song4,আশার সমাধি ঘিরে সেই পাখি আজও গান গায় একাকি হেঁটে চলেছি আমি হৃদয় মরুর আঙ্গিনায় এক সুখের বৃষ্টি এসেছিল ক্ষনে ক্ষনে তাই মনে হয় আ হাহাহা হাহাহা লালা লালা……,2
Agun,song4,কাব্য কবিতার ঘিরে সত্যি মিথ্যার স্থান পায় আমার আকাশের সব মেঘগুলো দুখের বৃষ্টি হয়ে ঝরে যায় বেদনার দুচোখ জুড়ে ক্লান্তি সব কিছু অভিনয় মনে হয়।।,2
Ahmed Fojol Karim,song1,প্রতি নিঃশ্বাসে দেখছো তুমি আমায় দীর্ঘ নিঃশ্বাসে ভালোবাসা ব্যাকুলতায় ভাবনা মেলে পাখা ক্লান্ত ধূলির পথকে সাথি করে আমি চেয়েছিগো সেই তোমায় বর্নে বর্নে সুবর্না তুমি একটি মাধবী রাত ধোঁয়া ধোঁয়া ধোঁয়া তুমি ছিলে আমার কামনায় ও বিন্দু বিন্দু গড়া ভালোবাসার পাহাড় গড়িয়ে পেলাম তোমায় আমি চুমু করি আকাশ এ সন্ধ্যায় প্রতিমার ছবি ওহো প্রতিমার ছবি,1
Ahmed Fojol Karim,song1,চুপি চুপি চাওয়া চাই যে বড় বুকে দুরু দুরু ভাবনা যে নীলাম্বরীর নীলাভরন লুকোচুরি করে তার মাঝে(২) বর্নে বর্নে সুবর্না তুমি একটি মাধবী রাত ধোঁয়া ধোঁয়া ধোঁয়া তুমি ছিলে আমার কামনায় ও বিন্দু বিন্দু গড়া ভালোবাসার পাহাড় গড়িয়ে পেলাম তোমায় আমি চুমু করি আকাশ এ সন্ধ্যায় প্রতিমার ছবি ওহো প্রতিমার ছবি,1
